,Scientific Name,Common Name,Maturity,Pollution Removal Per Year
,Prunus Serrulata,Cherry - Japanese,Mature,343.5,-0.127086,51.521888  
,Tilia europaea,Lime - Common,Mature,244,-0.151309,51.569706  
,Platanus x hispanica,London plane,Middle aged,294.6,-0.125337,51.521675 
,Aesculus hippocastanum,Horse Chestnut,Mature,1828,-0.146549,51.567585   
,Fraxinus excelsior,Ash,Middle aged,,-0.117107,51.525355   
,Laurus nobilis,Bay tree,Mature,21.9,-0.151683,51.538873   
,Crataegus monogyna,Hawthorn - Common,Mature,110.6,-0.186275,51.546506  
,Robinia pseudoacacia,False Acacia,Mature,271.9,-0.131429,51.534049   
,Amelanchier lamarckii,June Berry,Mature,9.2,-0.133122,51.542662   
,Prunus padus,Cherry - Bird,Mature,128.8,-0.195794,51.543  
,Corylus colurna,Hazel - Turkish,Juvenile,,-0.158409,51.543996  
,Acer pseudoplatanus,Sycamore,Mature,254.3,-0.150201,51.558125    
,Platanus x hispanica,London plane,Mature,1161.6,-0.118379,51.519211  
,Gymnocladus dioicus,Kentucky coffeetree,Juvenile,,-0.122828,51.521958   
,Sorbus intermedia,Whitebeam - Swedish,Mature,55,-0.14257,51.553487  
,Sorbus intermedia,Whitebeam - Swedish,Mature,97.2,-0.125093,51.527159  
,Crataegus monogyna,Hawthorn - Common,Mature,292.8,-0.192371,51.538653  
,Pinus sylvestris,Pine - Scots,Middle aged,314.2,-0.146481,51.569377 
,Betula pendula,Birch - Silver,Middle aged,41.6,-0.193098,51.54887 
,Sorbus aucuparia 'Sheerwater,Rowan,Juvenile,8.6,-0.134392,51.531973   
,Sorbus x thuringiaca,Whitebeam,Middle aged,35.1,-0.144254,51.557322  
,Prunus sargentii 'Rancho',Cherry - Sargent's,Juvenile,3.5,-0.159294,51.547473 
,Acer campestre,Maple - Field,Middle aged,24.7,-0.142934,51.539425 
,"Acer platanoides ""Prin. Gold""",Maple - Norway,Juvenile,12.5,-0.1438,51.547276
,Fraxinus excelsior,Ash,Mature,395.5,-0.161493,51.553119    
,Prunus kanzan,Cherry - Double pint,Juvenile,21.9,-0.131683,51.546107 
,Ulmus glabra,Elm - Wych,Juvenile,,-0.162571,51.551719  
,Tilia unidentified species,Lime,Middle aged,331.2,-0.121727,51.527605  
,Fraxinus excelsior,Ash,Juvenile,,-0.162708,51.552034    
,Fagus sylvatica,Beech - Common,Mature,549.1,-0.138909,51.557217  
,Platanus x hispanica,London plane,Mature,1337.7,-0.131177,51.53551  
,Platanus x hispanica,London plane,Mature,1651.5,-0.131404,51.527715  
,Prunus cerasifera 'Pissardii',Plum,Mature,185.6,-0.150096,51.547913   
,Acer campestre,Maple - Field,Mature,285,-0.141314,51.561891  
,Platanus x hispanica,London plane,Mature,412.9,-0.135881,51.534155  
,Carpinus betulus,Hornbeam,Juvenile,12.6,-0.192305,51.560072    
,Betula nigra,Birch - River,Juvenile,,-0.19954,51.545105  
,Fraxinus ornus,Ash - Manna,Mature,57,-0.137417,51.550882  
,Crataegus crus-galli,Hawthorn - Cockspur thorn,Mature,39.9,-0.196024,51.545363 
,Prunus unidentified species,Cherry,Middle aged,35.1,-0.173032,51.543543  
,Sorbus aria,Whitebeam,Middle aged,11.6,-0.137796,51.531995   
,Acer unidentified Species,Maple,Mature,97.3,-0.135554,51.546147   
,Juglans regia,Walnut,Juvenile,14.5,-0.141215,51.530111    
,Tilia euchlora,Lime - Caucasian,Mature,64.3,-0.194826,51.54263  
,Betula pubescens,"Birch - Downy Hairy",Middle aged,29.6,-0.129395,51.532804
,Corporate Landlord,Ilex aquifolium,22,,186095,-0.182827   
,Betula pendula,Birch - Silver,Veteran,22,-0.156224,51.548079  
,Sorbus aucuparia 'Streetwise',Mountain-ash,Middle aged,25.2,-0.200483,51.55071  
,Carpinus betulus,Hornbeam,Middle aged,76,-0.130955,51.534644   
,Platanus x hispanica,London plane,Mature,340.3,-0.135887,51.530969  
,Acer pseudoplatanus,Sycamore,Not Applicable,,-0.174548,51.569125   
,Platanus x hispanica,London plane,Mature,76.4,-0.149507,51.557313  
,Malus unidentified species,Apple,Mature,283.4,-0.149247,51.558525   
,Acer pseudoplatanus,Sycamore,Mature,411.3,-0.147758,51.566001    
,Platanus x hispanica,London plane,Mature,1945.4,-0.115779,51.525294  
,Platanus x hispanica,London plane,Mature,289.9,-0.129282,51.519872  
,Cupressus unidentified species,Cypress,Not Applicable,,-0.138512,51.555574  
,Platanus x hispanica,London plane,Middle aged,517.2,-0.15272,51.550213 
,Platanus x hispanica,London plane,Middle aged,340.3,-0.146478,51.564466 
,Pittosporum tenuifolium,Pittosporum,Mature,39.3,-0.162882,51.541831    
,Prunus x hillieri 'Spire',Cherry,Middle aged,3.5,-0.194808,51.550036 
,Betula pendula,Birch - Silver,Mature,240.7,-0.148754,51.556618  
,Populus tremula,Aspen,Not Applicable,3,-0.147954,51.545462   
,Tilia europaea,Lime - Common,Middle aged,86.7,-0.116149,51.525548 
,Robinia pseudoacacia,False Acacia,Mature,334.1,-0.158408,51.543961   
,Ailanthus altissima,Tree of Heaven,Middle aged,,-0.117874,51.515909 
,Malus 'Rudolph',Apple - Crab,Juvenile,3.8,-0.136224,51.549284  
,Prunus subhirtella 'Autumnalis,Cherry - Rosebud,Juvenile,9.9,-0.158644,51.549895 
,Pinus sylvestris,Pine - Scots,Juvenile,9.5,-0.185999,51.562129  
,Ginkgo biloba,Maidenhair tree,Juvenile,5.5,-0.141031,51.563263   
,Prunus 'Accolade',Cherry,Juvenile,11.6,-0.146019,51.569366    
,Platanus x hispanica,London plane,Middle aged,119.4,-0.132269,51.519452 
,Sorbus thibetica 'John Mitchel,Whitebeam,Middle aged,47.5,-0.145303,51.546164 
,Crataegus monogyna,Hawthorn - Common,Mature,184.1,-0.143766,51.556294  
,Aesculus hippocastanum,Horse Chestnut,Mature,458.9,-0.177254,51.539809   
,Chamaecyparis lawsoniana,Cypress - Lawson,Mature,107.4,-0.176459,51.552321  
,Acer platanoides,Maple - Norway,Middle aged,169.3,-0.128775,51.529797 
,Amelanchier lamarckii 'Robin H,June berry,Not Applicable,2.6,-0.162079,51.554537
,Betula pendula 'Dalecarlica',Birch - Cut-leaved,Mature,80.3,-0.203862,51.554826 
,Platanus orientalis,Plane - Oriental,Mature,340.3,-0.126914,51.543518  
,Sorbus,Rowan,Mature,23.5,-0.145919,51.559772     
,Acer saccharinum 'Laciniatum',Wier maple,Mature,251.7,-0.204698,51.548635  
,Crataegus laevigata 'Paul's Sc,Hawthorn - Red,Juvenile,,-0.209199,51.557527
,Platanus x hispanica,London plane,Mature,929,-0.127535,51.514644  
,"Acer platanoides ""Prin. Gold""",Maple - Norway,Juvenile,12.5,-0.151029,51.540166
,Prunus kanzan,Cherry - Double pint,Juvenile,12.6,-0.199163,51.550542 
,Prunus avium 'Plena',Cherry - Double white,Juvenile,54.5,-0.201257,51.549228
,Crataegus monogyna,Hawthorn - Common,Middle aged,62.3,-0.146582,51.56783 
,Malus Tschonoskii,Apple - Crab,Middle aged,55.1,-0.16431,51.550891 
,Acer saccharinum 'Laciniatum',Wier maple,Mature,301.6,-0.199402,51.548717  
,Tilia cordata,Lime - Small-leaved,Mature,341.4,-0.158571,51.541322  
,Fraxinus excelsior,Ash,Mature,226.7,-0.141908,51.567545    
,Sambucus nigra,Elder,Mature,107.4,-0.147211,51.556891    
,Platanus x hispanica,London plane,Mature,787.8,-0.175715,51.547113  
,Corporate Landlord,Ilex aquifolium,20,,186098,-0.183106   
,Platanus x hispanica,London plane,Middle aged,466.2,-0.129527,51.532714 
,Platanus x hispanica,London plane,Mature,357.1,-0.135714,51.534398  
,Acer platanoides,Maple - Norway,Juvenile,294.9,-0.191806,51.54076  
,Crataegus monogyna,Hawthorn - Common,Not Applicable,36.2,-0.127314,51.541833 
,Laurus nobilis,Bay tree,Veteran,46.1,-0.146043,51.570104   
,Betula pendula,Birch - Silver,Middle aged,29.6,-0.151335,51.55507 
,Platanus x hispanica,London plane,Mature,1108.9,-0.127995,51.515262  
,Acer platanoides 'Crimson King,Maple - Crimson
,Platanus x hispanica,London plane,Mature,636.5,-0.179447,51.559942  
,Tilia cordata,Lime - Small-leaved,Middle aged,102.2,-0.150826,51.570314 
,Prunus avium,"Cherry - Wild Gean",Mature,217,-0.19242,51.542997 
,Cornus kousa Milky Way,,Juvenile,,,  
,Tilia europaea,Lime - Common,Mature,492.3,-0.146589,51.5684  
,Betula papyrifera,Paper birch,Middle aged,27.3,-0.133842,51.534149  
